filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
sample1-0.fast5	ccad3549-643d-46c4-8faf-f30736565f36	01c601ade41551939fc3d763b24f095a94439087	0	428	3	22621.846282	7.997012	2408	TRUE	22624.126826	1721	5.716467	366	10.531141	0.000000	98.134026	13.075164	98.134026	13.075164
sample1-0.fast5	ce843fd3-7f11-43cf-906e-27fc60a0de0b	01c601ade41551939fc3d763b24f095a94439087	0	108	2	108892.411355	13.367198	4026	FALSE	108895.965803	2955	9.812749	787	5.227990	0.000000	110.928001	8.576182	110.928001	8.576182
sample1-0.fast5	aa2ead8f-ccdf-4963-863a-32e2da44063f	01c601ade41551939fc3d763b24f095a94439087	0	49	4	71585.551793	8.156042	2456	TRUE	71585.744356	2398	7.963479	288	8.026844	0.000000	104.038933	16.027620	104.038933	16.027620
sample1-0.fast5	cd3cd772-ec83-4b1a-8915-1cf9799c6415	01c601ade41551939fc3d763b24f095a94439087	0	82	4	19962.897410	47.138446	14198	TRUE	19964.738712	13643	45.297145	2966	12.069187	0.000000	103.195374	14.481095	103.195374	14.481095
sample1-0.fast5	d3d226ae-6b5c-4dc1-9e8f-d6d2fa45790d	01c601ade41551939fc3d763b24f095a94439087	0	449	2	28976.520584	16.500000	4969	FALSE	28979.465139	4082	13.555445	728	5.774796	0.000000	98.696396	10.825673	98.696396	10.825673
sample1-0.fast5	d575d400-dac8-4060-b668-85a060b926b6	01c601ade41551939fc3d763b24f095a94439087	0	100	2	16298.368194	12.565737	3784	TRUE	16298.533201	3735	12.400730	550	7.331534	0.000000	99.680550	12.793977	99.680550	12.793977
sample1-0.fast5	84fa034d-1122-473e-a8c1-48cc996af6ad	01c601ade41551939fc3d763b24f095a94439087	0	357	1	26615.642762	48.022576	14464	TRUE	26617.384794	13939	46.280544	3021	12.362291	0.000000	93.635040	14.902875	93.635040	14.902875
sample1-0.fast5	854b96a3-2d31-4fc0-846f-d9bf792e931d	01c601ade41551939fc3d763b24f095a94439087	0	245	1	52354.705511	45.820053	13801	TRUE	52359.142762	12464	41.382802	1887	10.738384	0.000000	101.508255	13.918722	101.508255	13.918722
sample1-0.fast5	a88979e2-503e-4e33-86e0-1c12d48ead88	01c601ade41551939fc3d763b24f095a94439087	0	251	1	10114.557437	30.905378	9308	TRUE	10116.789509	8636	28.673307	1271	9.813489	0.000000	99.118172	11.247453	99.118172	11.247453
sample1-0.fast5	cf840523-5ca9-426d-a189-085dffa5467c	01c601ade41551939fc3d763b24f095a94439087	0	220	2	974.071381	16.592961	4997	TRUE	975.615870	4532	15.048473	1111	11.132425	0.000000	95.603348	14.340502	95.603348	14.340502
sample1-0.fast5	d6b9aa78-9890-41fd-8a4c-529a81c4a42d	01c601ade41551939fc3d763b24f095a94439087	0	384	1	41839.378818	5.360226	1614	TRUE	41840.970120	1135	3.768924	264	10.169207	0.000000	106.288429	16.871180	106.288429	16.871180
sample1-0.fast5	d7c62108-c1c5-41a4-bd5f-ded52f64c6bc	01c601ade41551939fc3d763b24f095a94439087	0	191	4	17900.719456	11.646414	3507	TRUE	17901.376826	3309	10.989044	800	10.231545	0.000000	91.947922	13.778130	91.947922	13.778130
sample1-0.fast5	d997331c-e4f0-4bfb-9cb6-09d9d2884b51	01c601ade41551939fc3d763b24f095a94439087	0	346	4	48147.315405	14.167331	4267	FALSE	48147.513612	4207	13.969124	394	5.932080	0.000000	90.120216	16.589993	90.120216	16.589993
sample1-0.fast5	e54680fb-02a9-4abf-a159-3c79f3074c77	01c601ade41551939fc3d763b24f095a94439087	0	500	2	25068.349602	39.160691	11795	TRUE	25069.285193	11513	38.225100	2753	10.459187	0.000000	93.072670	14.199909	93.072670	14.199909
sample1-0.fast5	ea6e9e7b-6cfa-4acf-b726-62f48e064545	01c601ade41551939fc3d763b24f095a94439087	0	289	1	67520.397742	9.663015	2910	TRUE	67524.792829	1586	5.267928	305	11.421564	0.000000	105.023087	17.714737	105.023087	17.714737
sample1-0.fast5	eb1d163d-5dc3-4c60-87c4-716a6e042491	01c601ade41551939fc3d763b24f095a94439087	0	402	2	77240.195883	9.663015	2910	TRUE	77243.496680	1916	6.362218	371	9.063449	0.000000	101.930038	16.730585	101.930038	16.730585
sample1-0.fast5	eed4fa1c-3bdd-47e8-9bbf-01d42d1c9e70	01c601ade41551939fc3d763b24f095a94439087	0	312	1	10103.738712	5.951527	1792	TRUE	10104.575365	1540	5.114874	285	8.483222	0.000000	96.446907	13.496943	96.446907	13.496943
